,0
0,18642916
1,20488601
2,4423453
3,2105081
4,32606495
5,9178472
6,4313571
7,15147810
8,1022452
9,34398418
10,32008308
11,31306838
12,28923247
13,13527213
14,1938136
15,3011454
16,34186578
17,16797745
18,34323536
19,34181596
20,4366594
21,4601797
22,14588774
23,4221972
24,4580952
25,32477989
26,1425182
27,30842319
28,34682512
29,1397212
30,34523690
31,33854809
32,4521635
33,33122752
34,3699312
35,33995578
36,33408597
37,14839758
38,34390345
39,27381012
40,32264574
41,34096014
42,2360802
43,27109143
44,7218892
45,31996618
46,33270590
47,1283512
48,33824953
49,29904426
50,18929508
51,25966576
52,3558952
53,2301559
54,2946987
55,28197446
56,32629545
57,4447117
58,4545634
59,8302972
60,2881891
61,31832748
62,3436536
63,33701852
64,4440440
65,5829867
66,4476921
67,2032372
68,33715324
69,34713996
70,34166935
71,4505434
72,3722617
73,34618279
74,34323450
75,34226789
76,33627785
77,33920602
78,18544195
79,18570857
80,3994161
81,6358977
82,14973035
83,34176532
84,10830561
85,33877137
86,34259307
87,3680214
88,32314604
89,4604005
90,4286958
91,1281829
92,10742273
93,31710316
94,11577429
95,2879585
96,27409798
97,8815015
98,3714637
99,34950261
100,2672063
101,28389501
102,15385045
103,3334264
104,8628675
105,34501343
106,31204201
107,4386691
108,15249942
109,34507576
110,4631140
111,30196755
112,32003924
113,4647686
114,6227494
115,33488771
116,4186122
117,25297510
118,4654828
119,34564363
120,34147458
121,34670641
122,14684547
123,4605470
124,21078883
125,3772277
126,21863877
127,29469023
128,18909355
129,11728603
130,34394668
131,30828783
132,11701482
133,2466656
134,25010384
135,4392596
136,34080949
137,34619239
138,30058471
139,15166307
140,1683306
141,34728653
142,33280210
143,2871527
144,4320181
145,4595599
146,1814005
147,13944928
148,32540045
149,29468848
150,4503056
151,22426506
152,9477755
153,3582848
154,34347720
155,33791867
156,34124747
157,5763284
158,31405388
159,4477251
160,25204104
161,25070123
162,4730034
163,32959231
164,32591269
165,4248262
166,11813436
167,34920384
168,2249189
169,14480747
170,4432213
171,4513418
172,34215164
173,34351924
174,4605702
175,32088342
176,28237227
177,4508482
178,34492050
179,29907910
180,4660782
181,26655316
182,14877546
183,9330586
184,20984706
185,11923463
186,3740950
187,32448605
188,4015273
189,34454656
190,1116862
191,29228022
192,11923484
193,2454909
194,34904069
195,1325169
196,33393948
197,32628750
198,4559697
199,3593864
200,3725096
201,8170734
202,33030914
203,23390414
204,34366743
205,4627048
206,4631474
207,5426560
208,10827781
209,4575623
210,32265300
211,34258939
212,19346742
213,33874541
214,22308372
215,21753017
216,34813794
217,33697648
218,4519731
219,34633407
220,4538241
221,34277914
222,9649126
223,4594352
224,33083003
225,4280474
226,23258602
227,4398937
228,33526972
229,29802306
230,4221972
231,32940967
232,33286221
233,4564358
234,4192353
235,1030614
236,26670693
237,34408239
238,12318152
239,16521706
240,4557613
241,4627175
242,3977805
243,34532360
244,13374679
245,1974661
246,30401332
247,32530751
248,3850534
249,33800908
250,4523789
251,3204480
252,31574845
253,4525544
254,5838765
255,4622340
256,24365012
257,4536943
258,34443591
259,32538392
260,2175676
261,34591355
262,34435676
263,33205598
264,3649430
265,1825984
266,34180261
267,4065266
268,29750888
269,4474903
270,15335947
271,20228324
272,1027263
273,4454585
274,30812334
275,2927972
276,31295975
277,1029738
278,33161666
279,33769382
280,17931391
281,4517750
282,4587217
283,34680455
284,29371352
285,15073684
286,2573526
287,4621686
288,3658077
289,34885878
290,32346204
291,34730230
292,30236167
293,34136953
294,15250417
295,5429821
296,4653257
297,8669429
298,27220227
299,6882755
300,26309080
301,2422064
302,1186012
303,13826072
304,4125327
305,4445827
306,1204634
307,5670227
308,4624240
309,34455528
310,2331163
311,3800010
312,4454482
313,26823578
314,26357516
315,1583655
316,20908752
317,34543306
318,4237491
319,34494562
320,32666930
321,34841983
322,32952467
323,8438936
324,59798
325,27160134
326,4065266
327,33399404
328,27879206
329,1123755
330,5519781
331,17582218
332,3249840
333,14695595
334,34526991
335,8618260
336,4455175
337,19053010
338,34704701
339,26717345
340,3972922
341,3840311
342,34402697
343,4201415
344,34046698
345,5904283
346,22245713
347,4598450
348,4386968
349,1427287
350,10039684
351,4612190
352,34501611
353,26001703
354,1190136
355,14493084
356,14034511
357,4051068
358,32057892
359,34410724
360,34291404
361,4469336
362,33242270
363,25157843
364,28785970
365,31037731
366,5707741
367,33211812
368,3697394
369,26284672
370,1132031
371,4526287
372,15881050
373,34508874
374,4413184
375,34112313
376,15144132
377,34367582
378,1890742
379,33934053
380,3833760
381,4407410
382,34233159
383,4417030
384,10535792
385,31025167
386,2290447
387,4171426
388,34395627
389,1784195
390,33209154
391,5562165
392,4404247
393,4638273
394,10011483
395,4530763
396,26904038
397,26624262
398,4575606
399,34510993
400,22350011
401,13058271
402,29083044
403,34544820
404,31449614
405,1593222
406,34458841
407,34531097
408,26972327
409,27727866
410,4563395
411,1730174
412,31635114
413,4411606
414,25963404
415,17700697
416,28058552
417,34759836
418,34492830
419,33291350
420,25486615
421,32133573
422,32849309
423,4338021
424,13581118
425,34459116
426,29293694
427,28439155
428,2624195
429,32821058
430,33855498
431,4480940
432,1006946
433,34493744
434,13446419
435,8268136
436,3710520
437,31923583
438,3959654
439,7295598
440,6746459
441,3847634
442,34417807
443,4498936
444,34733176
445,34055521
446,8472734
447,31051997
448,33952337
449,34465050
450,4492493
451,33533456
452,8826212
453,23923436
454,2922463
455,11376909
456,28613765
457,4680036
458,32949415
459,3604257
460,34017321
461,32943642
462,27958466
463,33032942
464,2347308
465,33128155
466,15197907
467,3239004
468,3516824
469,34635615
470,4492273
471,18568597
472,4631225
473,32357418
474,4494154
475,29800470
476,16433527
477,28840111
478,4564927
479,4477041
480,4631175
481,31342132
482,30239878
483,2394586
484,4031746
485,33684375
486,34528982
487,34710408
488,29043700
489,4557135
490,29634002
491,5235018
492,25631085
493,4566065
494,34119983
495,4454657
496,3952064
497,30595002
498,34219057
499,34414390
500,33587890
501,29862098
502,1495310
503,33069537
504,1473892
505,4501399
506,2255922
507,1937588
508,17881633
509,33548242
510,11308462
511,34617362
512,32755623
513,32068156
514,33600553
515,30422327
516,2754030
517,34028776
518,34639800
519,24069157
520,15240391
521,31951469
522,4435410
523,30906814
524,10297601
525,18656747
526,4590514
527,3959516
528,4607743
529,1227784
530,33038833
531,15257597
532,30094282
533,18260290
534,34718111
535,34134440
536,34030705
537,4489164
538,2708274
539,32752832
540,1550075
541,34283993
542,15846381
543,4491119
544,32685333
545,1136686
546,33088119
547,3421855
548,3354461
549,4588642
550,12860896
551,2550033
552,9718162
553,1293925
554,34524110
555,2136825
556,2647709
557,34868465
558,4539091
559,33213199
560,3864507
561,24772349
562,4601205
563,33798159
564,6502621
565,12208896
566,32683088
567,2982926
568,2562181
569,33795375
570,17115377
571,1183192
572,4420914
573,4377911
574,3757946
575,19506979
576,19338514
577,6178388
578,20583997
579,3585394
580,20864076
581,98699
582,32989745
583,4545211
584,15291156
585,3086277
586,4575433
587,32739560
588,31709085
589,4343395
590,8019281
591,34167202
592,4492303
593,6489832
594,33337564
595,34460037
596,32869550
597,4415311
598,4490442
599,11207572
600,1578944
601,13760308
602,10897818
603,4220350
604,33420395
605,18901867
606,31821803
607,29603683
608,34015062
609,34415150
610,11206161
611,4579405
612,4527627
613,4498813
614,4583542
615,4537800
616,4461238
617,13371944
618,13393538
619,34338443
620,4618608
621,4489913
622,31526188
623,30392480
624,7984258
625,3952064
626,34631138
627,34290506
628,3769980
629,31206157
630,23696702
631,3641938
632,33154433
633,18556602
634,1571413
635,34408789
636,33090514
637,1474428
638,1189132
639,23465245
640,1352280
641,4674508
642,4607075
643,29332047
644,34718678
645,34073115
646,31341808
647,11543069
648,16917311
649,4458883
650,4437769
651,1184475
652,21748301
653,15112735
654,4388906
655,34276997
656,1042356
657,33879427
658,4460426
659,34111634
660,33714255
661,34686187
662,16477332
663,58756
664,4669827
665,3795167
666,28701485
667,30204431
